,NOC,Medal_sum,people,Fscore,gen_ave,enrollment,adolescent_fertility,Labor,Schooling_years,Primary_edu,Employment
375,GEO_2010,4,9,0.44444444,47.72714,NA,94.87088,46.34535,NA,47.06731,2.625
376,GEO_2012,8,36,0.22222222,57.6334,97.59214,94.8352,45.76498,NA,46.66469,3.31
377,GEO_2014,3,7,0.42857143,40.94654,NA,95.065,45.69137,14.53758,46.82875,2.61
378,GEO_2016,14,45,0.31111111,41.55263,NA,95.2948,45.63809,15.31938,47.30088,4.21
379,GHA_1992,4,41,0.09756098,50.23676,NA,89.6162,47.59016,NA,45.6557,18.085
380,GHA_1996,2,40,0.05,53.53318,NA,90.66628,48.21325,NA,NA,21.72
381,GHA_2000,9,28,0.32142857,47.54057,64.76047,91.60362,48.59468,7.41288,47.1668,25.705
382,GHA_2004,3,29,0.10344828,43.83434,NA,92.28222,49.11105,7.56256,47.42586,22.79
383,GHA_2008,1,9,0.11111111,49.48077,75.12742,92.66472,49.74766,9.73359,48.55621,21.055
384,GHA_2012,2,7,0.28571429,45.61581,NA,92.8224,49.76996,10.85981,48.91687,25.71
385,GHA_2016,8,15,0.53333333,53.93814,87.55431,93.2356,49.58725,11.45009,49.28661,32.515
386,GUM_1992,9,45,0.2,47.48189,NA,92.2476,37.84306,NA,NA,12.355
387,GUM_1996,2,9,0.22222222,48.15129,NA,92.85952,39.35434,NA,NA,12.24
388,GUM_2000,2,7,0.28571429,49.48547,NA,93.76574,40.53566,NA,NA,14.155
389,GUM_2004,1,4,0.25,49.49422,NA,94.67514,40.64251,NA,NA,13.165
390,GUM_2008,2,7,0.28571429,50.11913,NA,95.46394,40.67345,NA,NA,14.22
391,GUM_2012,3,8,0.375,50.87359,NA,96.1757,40.63007,NA,NA,15.815
392,GUM_2016,2,5,0.4,50.75586,NA,96.6981,40.49947,NA,NA,15.07
393,GUY_1992,1,7,0.14285714,55.3685,88.86849,91.1186,33.16943,NA,49.136,14.55
394,GUY_1996,1,9,0.11111111,54.82725,87.83213,90.8094,33.00645,NA,49.10825,13.38
395,GUY_2000,1,4,0.25,46.29722,NA,90.28204,31.56838,NA,48.60847,14.73
396,GUY_2004,2,4,0.5,45.47897,NA,90.28604,30.86086,NA,NA,15.29
397,GUY_2008,2,4,0.5,49.59503,97.52312,90.7917,32.43118,10.92456,48.78462,17.115
398,GUY_2012,2,6,0.33333333,49.70512,96.70199,90.9901,34.21367,11.74881,49.18614,15.39
399,GUY_2016,4,7,0.57142857,47.02047,NA,91.33306,35.15334,NA,NA,14.575
400,HKG_1992,15,66,0.22727273,48.63662,NA,99.3503,37.29955,NA,NA,9.26
401,HKG_1996,40,32,1.25,57.76536,93.14868,99.44382,38.96397,NA,48.36034,8.91
402,HKG_2000,19,46,0.41304348,49.30962,NA,99.56344,41.6277,NA,47.72233,8.325
403,HKG_2002,5,5,1,50.30196,NA,99.6276,43.47505,NA,48.05519,10.05
